0,1
Kako lahko davčni organ zavrne predlagani instrument zavarovanja?,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
"Kateri so primeri instrumentov zavarovanja, ki jih priznava davčni organ?","Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
"Kakšen je rok za davčni organ, da predlaga vknjižbo zastavne pravice?","Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
Na kakšen način lahko zavezanec za davek zagotovi zavarovanje davčne obveznosti?,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
Kaj pomeni predznambo zastavne pravice v kontekstu davčnega zavarovanja?,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
Kakšen postopek davčni organ uporabi za pridobitev zastavne pravice?,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
izjeme pri zahtevah za zavarovanje davkov za državne uporabnike,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
zavrnitev instrumenta zavarovanja s strani davčnega organa,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
vrste instrumentov zavarovanja po slovenskem davčnem zakonu,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
rok za vknjižbo zastavne pravice po sklepu davčnega organa,"Ne glede na 111. in 113. člen tega zakona se zavarovanje izpoln itve ali zavarovanje plačila davčne obveznosti ne zahteva, če je zavezanec za davek neposredni uporabnik državnega proračuna v skladu s predpisom, ki ureja javne finance.  117. člen (vrste instrumentov zavarovanja)  (1) Instrumenti zavarovanja iz 1. točke pr vega odstavka 114. člena tega zakona so: 1. bančna garancija brez ugovora na prvi poziv, ki jo izda banka, ki jo kot garanta prizna davčni organ;  2. garantno pismo zavarovalnice, ki ga izda zavarovalnica, ki jo kot garanta prizna davčni organ;  3. cirkulirani certif icirani ček, če je trasat takega čeka banka, ki jo kot garanta prizna davčni organ;  4. avalirana menica, če jo je avalirala banka, ki jo kot garanta prizna davčni organ;  5. gotovinski polog.  (2) Davčni organ lahko, na zahtevo zavezanca za davek, sprejme tudi dru ge instrumente zavarovanja, če ti instrumenti na enakovreden način zagotavljajo izpolnitev oziroma plačilo davčne obveznosti.  (3) Davčni organ lahko za isto davčno obveznost zahteva predložitev samo enega ustreznega instrumenta zavarovanja. Šteje se, da je  predloženi instrument zavarovanja ustrezen, če zagotavlja izpolnitev oziroma plačilo davčne obveznosti v celoti.  (4) Če davčni organ s sklepom iz 111. člena tega zakona kot vrsto zavarovanja zahteva predložitev instrumenta zavarovanja, zavezanec za davek lahko prosto izbere instrument zavarovanja iz prvega odstavka tega člena, pri čemer lahko davčni organ predlagani instrument zavarovanja zavrne, če meni, da le -ta ne zagotavlja izpolnitve oziroma plačila davčne obveznosti na zanesljiv način.  117.a člen  (pridobitev zastavne pravice)  (1) S sklepom za zavarovanje lahko davčni organ v primerih iz drugega odstavka 111. člena tega zakona odredi:  1. vpis zastavne pravice na deležu družbenika v družbi;  2. predznambo zastavne pravice na dolžnikovi nepremičnini ali na pr avici, vknjiženi na nepremičnini.  (2) Sklep za zavarovanje, s katerim se odredi vpis zastavne pravice na deležu družbenika v družbi, davčni organ nemudoma pošlje pristojnemu registrskemu organu, ki v njem vsebovano prepoved po uradni dolžnosti vpiše v pre dpisan register.  (3) Sklep za zavarovanje, s katerim se odredi predznamba zastavne pravice na dolžnikovi nepremičnini ali na pravici, vknjiženi na nepremičnini, davčni organ nemudoma pošlje pristojnemu sodišču, ki predznambo po uradni dolžnosti vpiše v ze mljiško knjigo.  (4) Davčni organ mora najpozneje v dveh mesecih po izvršljivosti odločbe sodišču predlagati vknjižbo zastavne pravice v vrst nem redu predznamovane pravice.  118. člen"
